,accuracy,communication,cleanliness,location,checkin,value,avgRating
9900111,2.8,3.2,3.6,1.2,4,3.6,2.60
9900112,4,3.25,3.75,3.25,3.25,3.5,2.50
9900113,3.86,2.57,2.71,2.86,2.43,2.29,3.00
9900114,3,3.17,3,2,2.83,3.67,3.00
9900115,3.43,3,3.29,3.43,3,2.86,3.14
9900116,2.6,2.4,2,3.2,3,2.6,2.80
9900117,3,3.8,3.2,3.6,3.2,3,2.40
9900118,3,3.25,3.25,4.75,4,3,3.00
9900119,2.33,3.67,3,3,2.67,3.67,3.00
9900120,3.5,4,3,3.5,2.75,2.75,2.75
9900121,3,2.67,1.67,3,2.33,3.33,3.33
9900122,2.33,3,2.67,2.67,2.33,4,3.67
9900123,3.33,3.67,3.5,3.17,4.17,3.67,3.50
9900124,3.6,3.6,3.2,2.8,3.4,4.4,3.60
9900125,4.75,4.25,3.75,3.5,2.5,1.75,3.50
9900126,4.33,4,3,3.67,4,2.33,2.67
9900127,3.43,3.43,2.71,2.71,3.86,2.57,2.29
9900128,2.43,4,3,4.43,3.14,3.14,3.57
9900129,2.86,3.43,3.14,2,2.57,2.86,3.29
9900130,3.67,2,3.67,4.33,4.33,3,5.00
9900131,2.8,2.8,3.2,3.8,3.2,3,2.80
9900132,3.5,3.17,2.17,3.5,3.17,2.83,2.83
9900133,2.57,2.86,3.29,2.71,4,3.71,2.71
9900134,3.6,1.8,2,3.4,2.2,2.2,2.60
9900135,2.33,4.33,4,2,4,2,3.67
9900136,2.75,3.25,2.5,3.25,1.75,1.75,2.50
9900137,3.6,2.8,2.2,3.8,3.2,2.6,3.80
9900138,2.83,3.17,2,3.67,2.5,3.67,2.33
9900139,3.5,2.67,3.83,2.83,3.17,1.83,2.83
9900140,3.29,3,2.14,3.29,2.29,3,3.29
9900141,2.86,3,3.29,2.86,3.29,3,3.00
9900142,2.2,3.8,2.4,4.2,4,4,3.00
9900143,3,2.33,2.33,1.67,4.67,2.33,2.33
9900144,4.33,2,2.67,2.67,4.67,3.33,3.33
9900145,2.25,1.5,2.75,1.75,2.5,2,3.00
9900146,3.33,2.83,3.5,3.33,3.17,3.67,3.33
9900147,2.33,2,2.67,2,1.33,3.67,3.33
9900148,2,3.5,3,2.75,2.5,3,3.75
9900149,3.33,2.33,2.5,2.83,3.17,4,3.00
9900150,2.67,2.83,2.5,2.83,1.83,3,3.17
9900151,3.5,2.67,3.33,2.67,3.17,2.5,3.83
9900152,2.5,3.25,2.75,2.75,4.25,2.25,3.00
9900153,1.75,4.25,2.5,2,4,2.5,2.50
9900154,2.57,3.14,3.43,2.43,3,4,3.00
9900155,3.5,1.75,1.75,2.25,2,3,2.50
9900156,3.33,2.33,1.33,3.67,2,3.67,2.67
9900157,3.71,2.71,3,3.43,2.57,3.71,2.57
9900158,3.33,3.67,4.33,3,3.67,3.67,3.33
9900159,4,2.4,2,2.4,2.8,3.2,2.40
9900160,2.6,3.6,2.8,3,4.2,2.4,2.40
9900161,3,3,4.5,2.75,3.75,2.25,3.50
9900162,1.5,1.5,2.75,2.75,2.75,2.25,1.75
9900163,1.8,2.2,3.2,3,2.8,3.2,2.40
9900164,3.67,1,3.67,2.67,3.33,2,1.67
9900165,2.33,3.67,2,2.33,4,2.33,2.00
9900166,3.25,2.75,3,3.25,4,4,2.75
9900167,2.67,3,2.67,3,2.33,1.67,3.67
9900168,2.57,3.29,2.86,3.43,2,2.86,2.14
9900169,1.8,4,3,3.6,3,2.8,3.00
9900170,3,2.71,3,3.14,1.71,3.57,2.71
9900171,2.29,3.29,2.86,3.71,2.29,3.14,2.00
9900172,3,4.33,2.67,3,1.83,3.17,2.83
9900173,3,1.6,2.6,3.2,2.8,3.2,2.20
9900174,3.4,3,2.8,3.2,2.2,3.4,2.00
9900175,3,2.6,1.8,2.4,4,2.8,3.60
9900176,2,2.33,3,4,3,3,2.33
9900177,2.67,2.83,2,3.17,2.33,3.83,3.00
9900178,2.14,4.29,2.29,1.57,2.71,2.86,2.43
9900179,3.25,4,3.75,2.75,2.75,3.25,3.25
9900180,2,2.33,3.67,3.33,2.67,2.83,3.33
9900181,2.4,2.2,3,2,3.4,4,2.80
9900182,1.67,3,4,1.67,3.67,5,2.67
9900183,3.5,3.25,2,4,3.75,3,2.25
9900184,2.57,3.43,3.14,3.43,3.29,3.43,3.57
9900185,2.8,2.8,2.8,2.4,2.4,3.6,3.00
9900186,2.8,3.8,3.8,2.4,3.4,2.6,4.20
9900187,4.67,3,2.33,3.67,4.67,4.67,3.33
9900188,2,2.83,3.33,4,2.67,3.17,3.50
9900189,2.33,2,3.67,2.33,2,2,3.33
9900190,3.33,2.33,2.5,3.5,2.83,2.67,3.67
9900191,3.4,2.6,3.4,2.6,4.2,3.6,3.00
9900192,3,3.4,3.6,2.6,3.2,2.4,3.00
9900193,2.67,2.17,1.67,3.17,4,3.5,2.50
9900194,2.67,2.83,3.67,3.67,2.17,2,3.00
9900195,3.8,2.6,2.4,2.4,3,3.2,3.20
9900196,2.83,2.33,2.5,3,3.33,3.33,3.50
9900197,3,2.83,3.17,2.83,3.5,3.83,2.50
9900198,3,2.5,3.25,2.25,3,3.25,2.00
9900199,3.33,3.33,2.33,2.67,5,2.67,2.00
9900200,3,3.67,2.33,2.67,3,3.33,2.33
9900201,4.75,4.25,3,2.25,2.75,2.5,1.25
9900202,3.5,2.83,2.67,2.5,3,3,4.00
9900203,4,2.5,3,2.75,3.5,2.75,3.50
9900204,2,2.75,3.5,2.75,3.75,1.5,2.75
9900205,2.6,2.8,2.8,2.2,2.8,3.6,3.60
9900206,2.67,3.67,3,4,3.67,2.67,3.67
9900207,2.33,2.5,2.33,2.5,3.5,4,2.83
9900208,3.17,3.5,2.33,3.17,2.33,3.33,3.67
9900209,3.33,3.17,2.83,3,2.33,3.33,3.50
9900210,2.33,2.5,4.17,3,3.17,2.17,2.33
9900211,3.33,3.83,3.33,2,2,2.5,2.50
9900212,3.8,2.6,2.6,3,3.6,2.8,3.20
9900213,2.67,3.5,2.33,3.83,4.17,3.33,2.67
9900214,3,3,2.67,2.67,2.33,1.67,3.33
9900215,2.5,2.75,3.75,4,5,4,3.00
9900216,3.33,2.67,3,3.67,2.33,1.67,1.33
9900217,2.71,3.86,2.43,3,3,3.29,3.57
9900218,3.43,1.71,3,3.14,3.29,4,3.00
9900219,1.75,3.75,3.25,3.75,3,3.25,3.25
9900220,2.67,4.33,2,3.33,3,2.67,3.00
9900221,3.86,2.86,3,3.14,2.29,2.57,2.71
9900222,3.33,2.33,4.33,3.33,2.67,2.67,3.33
9900223,2,2,4.67,3.67,3,3.67,4.00
9900224,2.75,3.25,3.75,2.25,3,2.75,2.75
9900225,3.86,3.43,3,3.57,3.43,2.86,2.86
9900226,2.17,1.17,3.67,3.67,2.5,3.67,3.50
9900227,2.8,4.4,2.8,3.4,2.4,3.4,3.00
9900228,2.33,2.67,2.17,4,2.67,3.5,1.00
9900229,2.6,2.6,1.6,3.2,2.8,2.6,2.00
9900230,3.6,2.8,2.4,3.2,2.2,3.4,3.60
9900231,3,3.67,2.33,2.33,4,3.67,3.33
9900232,2.67,2.83,3.5,2.83,3,3.67,2.00
9900233,2.5,3,2.33,3.17,3,2.17,2.83
9900234,3.17,3,2.67,3.5,2.83,3.67,2.17
9900235,4,3,3,3.17,3.83,3.33,3.67
9900236,3.8,3,3.8,2.4,3.8,3.4,3.80
9900237,3,2.33,4,2.67,3.33,3.33,2.67
9900238,2.5,3.17,2,3,3,3.83,2.67
9900239,2.5,2.67,3.17,2.83,3.5,2.83,3.00
9900240,2,2.17,3.33,3.17,2.67,1.67,3.00
9900241,2.5,2.83,4.17,2.33,2.5,4,2.33
9900242,2.5,4,2.25,3.5,2.25,1.5,3.50
9900243,3.86,3.14,3.57,3.29,2.86,2.71,3.71
9900244,3.86,2.57,2.29,3.86,3.43,3.43,2.71
9900245,3.33,3,3.67,2.67,2.5,2.83,3.00
9900246,3.5,2.25,3.5,2.75,3,3.5,3.50
9900247,4,3,3,1.67,3.67,5,2.67
9900248,3.29,3.29,3.29,2.14,2.43,3,3.00
9900249,3.33,4.33,2.33,2.83,3.33,3,2.33
9900250,3.29,2.29,2.71,2.43,2.57,2.57,3.29
9900251,3.43,4.14,3.14,3.14,2.86,3,3.29
9900252,3,3.67,2.67,2.33,2.33,2.67,2.00
9900253,2.75,3.5,3.75,2.5,2.5,3,3.25
9900254,3,3.33,2.33,2,2.67,2.33,3.00
9900255,2.83,2.83,3.33,3.17,2.67,2.83,4.00
9900256,2.86,2.57,2.86,3,2.71,3.14,3.29
9900257,1.83,1.83,3.83,2.5,3.67,3.83,3.50
9900258,2.67,2.33,2.33,3.33,2.67,3,4.00
9900259,2.5,2.5,3.75,3.25,3.25,2.75,2.50
9900260,3.5,2.25,3.25,3.75,3.25,2,2.50
9900261,3.33,3,2.33,2.33,4,3.33,2.67
9900262,2.5,2.5,3.25,1.75,2.75,3.75,3.25
9900263,4,4.5,2,3,2.33,3.17,2.50
9900264,1.67,3.33,3,1.33,3,3,3.00
9900265,2.6,3.8,3.2,3.4,1.8,3.8,3.80
9900266,1.75,2,2.5,3.25,2.75,2.75,4.00
9900267,2.6,4.2,3.4,3,1.8,2.6,3.80
9900268,2.33,5,3.33,3,4,1.67,3.67
9900269,3.75,3.25,3.5,2.5,2,3.75,3.75
9900270,2.71,3.29,3.14,2.86,2.14,2.43,3.00
9900271,3.17,3.33,3,3.83,2.67,3.33,2.33
9900272,3.25,3.75,3,3.25,2.5,3.25,2.00
9900273,3.14,2.57,2.43,4.29,3.29,3.29,2.86
9900274,3.29,3.14,3.29,2.71,3.43,2.43,3.00
9900275,3.29,2.57,3,3.57,3,3,3.14
9900276,2.57,3,3,2.71,2.29,2.71,2.43
9900277,3.2,4.2,1.8,3.2,3.8,2.4,3.40
9900278,2.29,2.57,3.14,3.57,3.43,3.71,2.57
9900279,3.67,2.17,3,3.33,3,3.5,2.67
9900280,1,3.33,3.67,1.67,3.67,3.33,3.33
9900281,3.67,3.33,1.67,2.33,2.67,2.67,4.33
9900282,2.67,3.33,1.33,2,2.33,2.33,2.33
9900283,1.86,3.29,4.29,2.71,2.14,3.29,3.43
9900284,2.6,3,3.4,3.2,2.2,3.2,4.00
9900285,3.25,3.5,4,2.75,2.75,2.25,2.75
9900286,2,4.33,3.67,4.33,2,4,2.33
9900287,3.5,2.5,2,2.75,3,2.25,2.50
9900288,3.2,3.2,3,3.6,2.4,2.8,2.80
9900289,2.67,4,3,3,4.33,3.67,3.00
9900290,1.83,3.17,2.83,3,2.5,2.17,3.83
9900291,4,2.83,2.83,2.67,3.33,3.17,2.00
9900292,3.83,2.83,2.83,3.67,4,2.67,2.17
9900293,3.14,3.14,3.57,2.57,2.29,3,3.14
9900294,3.25,2.75,1.75,1.25,3.75,3.5,3.25
9900295,4,2.5,3,3.5,4.25,2.75,3.50
9900296,3.57,3.14,3.29,4,3.57,3.29,4.71
9900297,2.25,3,1.25,4,2.25,2.5,2.00
9900298,2,2,3.75,2.75,4,4.5,3.75
9900299,2.75,2.25,3.75,3.75,3,2.25,3.00
9900300,2.4,3.2,2.4,2.2,3.2,2.6,2.20
9900301,4,3.33,4.33,4.33,2.67,3,3.67
9900302,2.75,3,3,2.75,3.5,3.75,1.75
9900303,3.2,2.8,3.4,3.2,3.4,3.6,2.60
9900304,3.33,2.17,3.33,4.33,2.17,2.17,3.17
9900305,4.2,2.8,4,3.4,3.4,2.4,2.20
9900306,2,3.5,3.17,2.5,2.5,3.33,2.33
9900307,3.25,2.5,2.25,3,3.5,2.5,2.00
9900308,3.33,2.5,3,3.67,2.83,2.5,3.67
9900309,4,3,2.6,2.4,2.8,3.2,3.20
9900310,3.4,4.6,3.2,3.2,2.6,3.4,2.40
9900311,2,3.33,2.67,2.33,2.67,2.33,2.67
9900312,3.2,3,3.4,2.8,2.8,2.6,2.40
9900313,3,2.67,3,4.33,3.33,2.67,4.00
9900314,4,2.8,3.6,3.8,2.4,2.4,2.40
9900315,2.86,2.43,2.86,2.86,3.71,3.71,2.86
9900316,3,2.29,3.71,2.86,2.57,4.29,2.71
9900317,2.17,2.83,3.5,3.33,3.33,3.67,3.33
9900318,3.6,2,2,2.6,3.4,3.6,1.80
9900319,2.71,2.43,4.14,2.71,3.57,3,4.00
9900320,2,4,1.33,2.67,1.33,3,3.33
9900321,2,2,2.33,2.67,2,2.33,1.00
9900322,2.67,1.67,3.33,2,3.33,3.67,1.67
9900323,4.25,2.75,3.75,3,2.5,2.75,2.00
9900324,2.25,3.25,3.5,2.25,2.25,2.5,3.50
9900325,2,3.5,2.83,2.83,3.5,3.33,3.50
9900326,3.67,2.67,3.67,2,3.33,2.67,3.00
9900327,2.67,2.67,4.5,2.67,2.83,3.33,2.33
9900328,3.25,3,3,3,2.25,2,2.75
9900329,3.33,2.67,3.33,4.33,2.33,2.33,2.33
9900330,4,2.67,3.67,2.67,1.67,4,3.00
9900331,3.57,4.14,3.29,2.57,4,3.57,3.43
9900332,3.67,2,3.33,2.67,2,3.33,2.67
9900333,2.8,3.2,2,2.4,3.6,4.6,3.00
9900334,1.57,2,2.43,2.14,2.71,3.43,2.29
9900335,2.25,2.5,3.5,3.25,2,3.25,2.25
9900336,1.4,1.6,3,3.2,3,3.6,2.40
9900337,4,2,1.33,3.33,2.33,3,2.67
9900338,3.8,3,2.8,2.2,2,3,3.20
9900339,4.4,3.6,3,3.2,3,2.6,2.40
9900340,3,2.67,2,3.67,4,2.67,3.33
9900341,2.8,4.2,3,3.2,3,2.4,3.20
9900342,2.67,2.67,4.33,3.33,4.33,3.67,4.33
9900343,3.71,3.57,3.14,3.43,3.43,4.14,2.43
9900344,3.17,2.33,2.5,3.33,2.83,3.33,3.33
9900345,2.17,2.83,3,2.83,3,3,1.83
9900346,2.5,4,4,3.5,2.75,3.5,3.25
9900347,3,1.67,3,3.67,2,2,2.33
9900348,3,2.4,2.6,3.8,2.8,3.8,2.40
9900349,3.33,1.83,2.83,3.83,2.83,2.17,2.67
9900350,3.33,2.67,2.33,2.67,3,4,2.00
9900351,3,4,1.75,2,1,3.75,2.00
9900352,3.67,3.33,3,2,2.67,3.33,3.00
9900353,3,2.67,4.67,1.67,1,4.33,3.00
9900354,2.4,1.6,3,2.8,2,2.4,2.40
9900355,3,2.67,3.33,2.17,3.83,3.5,3.00
9900356,3.25,2.5,3.5,2.75,2.25,3.5,1.50
9900357,3.71,3.14,2.57,3,2.86,2.71,2.29
9900358,2.67,2.83,2.5,3.67,2.17,1.5,3.00
9900359,2.5,2.75,2.75,2.25,3.75,2.5,4.25
9900360,3,2.8,3.2,3.8,2.6,2.2,2.80
9900361,1.5,3.75,3.25,4,3.75,4,2.50
9900362,2.86,2.71,2.86,3.71,3.14,3.71,3.71
9900363,4,3.33,2,3.67,3.67,4.33,1.33
9900364,3.6,2.8,3.8,3.2,3.4,3.6,4.40
9900365,3.8,2.6,3.8,4,3.8,3,4.40
9900366,3.4,2.4,3.6,2.8,3,3.4,3.80
9900367,2.67,3.17,2.5,2.5,2.33,3.5,3.17
9900368,2.71,3.14,2,3,3.43,2.86,2.57
9900369,2.43,2.86,3.29,3.14,4,3.14,3.57
9900370,2,3.2,3.2,3.4,3.4,3.8,4.00
9900371,4,3.67,3.67,3.67,4,4,2.67
9900372,2.67,2,2.33,3,3.33,3.33,2.33
9900373,2.86,2.43,3,2.71,2.86,3.14,3.29
9900374,3.2,3.8,2.8,2.8,2.8,3.6,2.60
9900375,3.14,2.57,2.43,3,2.71,3.14,2.86
9900376,3.67,2.33,2.67,3.67,3.33,2,2.33
9900377,2.75,3,3,3,2.25,2.75,2.75
9900378,1.25,4,3.25,3.25,3.5,1.5,3.75
9900379,1.33,1.67,3,2.33,3.33,1.67,3.67
9900380,3.33,3.5,2.83,3.17,2.5,2.83,3.00
9900381,2.5,3.25,4,3.25,3.5,3.25,3.00
9900382,2.5,3,3.33,2.83,2.17,2,3.33
9900383,4.33,3.67,1.33,4.33,2.67,2.33,1.33
9900384,3.83,4.33,3.83,2,2.33,3.5,2.67
9900385,2,3.2,3.2,3.8,3.2,2.4,4.20
9900386,2.25,3,2.25,3.5,3.25,2.5,3.25
9900387,4.4,3.6,3,2.2,2.8,3.4,3.40
9900388,3.43,3,3,3.57,3.14,2.71,3.00
9900389,3.33,4,3,3.33,3,3.33,2.33
9900390,2.75,4.25,4.5,2.25,3,1.75,2.75
9900391,2.67,2.33,2,2,3.33,3.67,3.33
9900392,2.5,2.5,1.67,3.5,3.33,2.83,4.00
9900393,4.5,2.5,3.5,2.25,2.75,2.5,3.50
9900394,2.67,2.83,3.17,3,3.17,3.33,2.17
9900395,2.6,2.8,2.8,3.4,3.6,2.4,3.40
9900396,2.8,2.6,2.6,3.2,3,2.8,3.00
9900397,2.33,3,2.33,3.33,3,3.67,3.67
9900398,2.75,1.5,2.25,2.75,3,4,4.00
9900399,3.17,2.33,4.17,3.17,3.33,3.67,4.17
9900400,2.75,1.75,1.5,3.25,3.5,1.5,3.75
9900401,3.2,1.2,3,3.2,1.8,2.6,3.40
9900402,3.5,3.5,3.5,3.5,2.75,1.5,4.00
9900403,3.33,2.67,3.33,1,2,4.33,4.00
9900404,3.67,2.33,3.33,2.33,4,2.33,2.67
9900405,1.2,2.8,2.8,3.2,4.4,3.2,2.60
9900406,2.25,1.75,2.5,3.25,3.75,2,2.50
9900407,2.83,2.83,2.67,2.83,2.83,2.33,3.83
9900408,3.5,4.25,2.5,2.75,3.25,3.75,3.25
9900409,3,2.67,2,2,3.33,3,3.33
9900410,4,3,3.25,2,3.5,3.75,3.25
9900411,2.33,2.67,3.33,1.67,2.67,3.17,2.83
9900412,2.75,2.5,1.75,3.75,1.75,2.5,3.75
9900413,2.8,2.6,3,3,3,2,3.00
9900414,1.75,3,3,3.75,3.25,2.75,3.50
9900415,2.4,4.2,2.6,3.2,3.2,4.2,2.80
9900416,2.67,3,2.33,3.33,2.33,4.33,4.67
9900417,3.5,4,3.25,1.75,1.75,3.75,3.25
9900418,2,1,1,3,2.33,3.33,4.00
9900419,3.2,2.4,2.2,3.8,3.2,3.2,3.80
9900420,2.43,2.29,3.29,2.86,3.43,3.86,3.43
9900421,3.14,2.71,3,3.43,3.86,3.71,3.43
9900422,4,4,1.67,2.33,4,2.67,1.33
9900423,3.71,3.43,3.86,2.43,2.71,3.43,2.86
9900424,2.5,3.25,3.25,2.25,2.5,3,2.50
9900425,4,2.33,5,3.67,3.33,4.67,3.33
9900426,2.75,3,3.75,2,3.25,1.75,3.50
9900427,4.29,2.71,3.14,2.71,3.57,3.29,3.57
9900428,2.67,3.33,2.33,2.33,1.67,2.67,2.33
9900429,2.4,3,3.2,3.2,2.6,2.6,3.40
9900430,3.17,2.5,3.17,4,1.5,2,2.67
9900431,3.75,3.75,2.5,1.5,1.75,2.5,3.50
9900432,3.67,3,3,3.5,2.67,3.33,3.67
9900433,2.67,2,3.67,3.33,3,2.67,3.00
9900434,2.29,3.14,4,2.43,3.43,2.71,2.29
9900435,2.29,3,3.29,2.14,3.29,2.57,3.00
9900436,2.8,3.2,3,3.6,3.4,4.4,2.80
9900437,2.6,3,2.6,2.2,2.6,2.6,2.00
9900438,2.67,4.33,3,3,3,2.33,2.67
9900439,2.4,3.8,3.2,4.2,2.4,2.8,1.80
9900440,3.67,3,3.17,3.5,3.5,3.67,3.17
9900441,4,2,3.75,2.25,3.5,2.25,3.50
9900442,5,3.33,2.33,2,2,2,2.67
9900443,2.83,3.67,2.67,3,4,2.83,3.00
9900444,2.83,2.83,2.83,3.33,2.33,2.83,2.50
9900445,2,4.4,3.2,2.8,2.8,2.2,4.00
9900446,2.8,3.2,3,1.6,3.4,3.2,2.80
9900447,3.75,3.75,3.25,2.5,3.5,2.5,2.25
9900448,2.25,3.75,2.5,4,3,2.5,3.75
9900449,2.25,4,1.75,3.75,1.75,4,3.50
9900450,2.33,2.67,3,3.67,3.33,3,3.33
9900451,2,3,3,3,3.33,3.67,2.33
9900452,2.75,3.25,2.25,2.5,3.5,1.75,4.00
9900453,3.17,2.83,2.83,3.33,2.5,3.33,3.00
9900454,3.75,2.5,2.75,3.75,2.75,3.75,1.75
9900455,2.5,2.83,2.83,2.33,2.67,3.17,3.50
9900456,3,2.75,1.5,3.5,3,1.75,4.00
9900457,3,1.75,2.75,2.75,3,1,2.75
9900458,2.2,3,2,1.4,3.6,2,3.00
9900459,2.33,3,3,4.33,3.67,2,2.33
9900460,2.75,3.5,4,3,1.75,2.75,3.50
9900461,3.33,2.17,3.83,3,4,2.67,2.83
9900462,4,1.75,4,2.25,4,2.5,2.50
9900463,2.67,2.67,4.33,1.33,4,2,3.00
9900464,3.5,1.33,3.67,3.33,3.5,3.33,3.00
9900465,2.8,2.4,3.2,2.6,3.4,2.8,2.80
9900466,2.71,3.71,2.57,2.86,2.86,3.14,2.57
9900467,3.6,3,3.2,2.8,3.6,3.2,2.20
9900468,2,2,3.33,2.33,3.33,3.67,4.33
9900469,3.17,2.5,2.83,3.33,1.83,2.67,2.00
9900470,2.33,3,2.17,3.5,3.5,4,3.17
9900471,2.57,3,3.71,1.86,3,3.86,3.43
9900472,2.25,2.25,4.25,3.5,3,4.25,4.00
9900473,3.5,3.33,2.67,3.83,3.17,3.17,2.50
9900474,3.14,4,3,3.71,2,1.71,3.00
